FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Cocconeis klamathensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis neodiminuta,3,,,BN,5,,yes,,,,,,,NM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis neothumensis,,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pediculus,4,,yes,BN,4,,yes,,,,,high,,NM,NAHON,NAHON,DO_75,BF,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula,4,,yes,BN,1,yes,,,,,,high,high,NM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula var euglypta,4,,yes,BN,3.6,,,,,,,high,high,NM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula var lineata,4,,yes,BN,5,,yes,,,,,high,high,NM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudolineata,4,,yes,BN,,,,,,,,,high,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudothumensis,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis rugosa,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis scutellum,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Coelastrum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum
Coelastrum astroideum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum
Coelastrum microporum,4,,yes,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum
Coelomoron,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron
Coelomoron pusillum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron
Coleochaete,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete
Coleochaete irregularis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete
Coleochaete scutata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete
Coleodesmium,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Coleodesmium
Coleodesmium floccosum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Coleodesmium
Coleodesmium wrangelii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Coleodesmium
Comasiella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Comasiella
Comasiella arcuata var platydisca,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Comasiella
Compsopogon,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon
Compsopogon caeruleus,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon
Compsopogon chalybeus,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon
Coscinodiscophyceae,,,,,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,NA,NA,NA
Coscinodiscus,,,,P,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus
Cosmarium,,,,,,,,,high,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium abbreviatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium angulosum,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium angulosum var euastroides,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium binum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium bioculatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium biretum var trigibberum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium brebissonii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium contractum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium contractum var ellipsoideum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium crenatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium depressum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium granatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium humile,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium impressulum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium impressulum var suborthogonum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium imressulum,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium incertum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium laeve,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium polygonum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium porteanum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium portianum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium praecisum var suecicum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium protractum,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium punctatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium punctulatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium quadrum var minus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium regnellii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium regnellii var minimum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium reniforme,,,,,,,,,high,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium sportella,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium sportella var subnudum,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subcostatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subcrenatum,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum var minutum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium turpinii var podolicum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmariumeciosum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmariumortella var subnudum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmioneis,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis
Cosmioneis pusilla,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis
Craticula,,,,BN,2.2,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula accomoda,5,,yes,BN,1,yes,,,,,,high,high,MM,NHHONO,Heterotroph,DO_10,FB,FB,PS,PH,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula acidoclinata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula ambigua,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula buderi,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula cuspidata,4,,yes,BN,2.6,,,,,,,high,high,MM,NAHON,NAHON,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophila,4,,yes,BN,2,yes,,,,,,high,high,MM,NAHON,NAHON,DO_75,B,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophilioides,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula minusculoides,,,,BN,2,yes,,,,,,,,MM,NHHONO,Heterotroph,DO_30,FB,FB,AMPS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula molestiformis,5,,yes,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula submolesta,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Crucigenia,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Crucigenia
Crucigenia tetrapedia,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Crucigenia
Crucigeniella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella
Crucigeniella apiculata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella
Cryptomonadaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,NA
Cryptomonas,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas anomala,3,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas erosa,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas ovata,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptophyta,NA,NA,NA,NA
Ctenophora,,,,BN,2.9,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Ctenophora
Ctenophora pulchella,4,,yes,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Ctenophora
Cyanobacterium,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,NA,NA,NA,NA
Cyanobium,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium
Cyanobium diatomicola,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium
Cyanodermatium,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium
Cyanodermatium fluminense,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium
Cyanophanon,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophanon minus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophanon mirabile,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophyceae,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanostylon,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon
Cyanostylon microcystoides,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon
Cyanothece,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece halobia,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyclostephanos,,,,P,2.9,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos costatilimbus,,,,P,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos damasii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos dubius,,,,P,3,,,,,,,high,high,NM,NAHON,NAHON,DO_75,BF,Halo,AM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos invisitatus,4,,yes,P,3,,,,,,,high,high,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos tholiformis,,,,P,2,yes,,,,,,high,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclotella,,,,P,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella atomus,5,,yes,P,2,yes,,,,,,high,high,NM,NAHON,NAHON,DO_75,BF,Halo,AM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella bodanica,2,yes,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella comensis,,,,P,4,,yes,,,,,,,NM,,,,FB,FB,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella distinguenda,,,,P,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella gamma,3,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella hakanssoniae,,,,P,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella meneghiniana,5,,yes,P,2,yes,,,,,,high,high,NM,NHHONF,Heterotroph,DO_10,BF,Halo,AMPS,E,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella ocellata,3,,,P,3,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,ME,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella operculata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella rossii,,,,P,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella tripartita,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cylindrocapsa,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocapsa geminella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocapsa geminella var minor,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocystis brebissonii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Cylindrocystis
Cylindrocystis brebissonii var turgida,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Cylindrocystis
Cylindrospermum,3,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum licheniforme,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum majus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum stagnale,3,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrotheca,,,,BN,1,yes,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cylindrotheca gracilis,5,,yes,BN,1.8,yes,,,,,,,,HM,,,DO_100,B,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cymatopleura,,,,BN,4.1,,yes,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura elliptica,3,,,BN,,,,,,,,,,HM,NAHON,NAHON,DO_75,BF,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea,4,,yes,BN,,,,,,,,,,HM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea var apiculata,,,,,4,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymbella,,,,BN,4.7,,yes,,,,,,,NM,NALON,NALON,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella affinis,2,yes,,BN,,,,,,,,low,low,NM,NALON,NALON,DO_100,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella aspera,,,,BN,4,,yes,,,,,,,NM,NALON,NALON,DO_100,FB,FB,OS,I,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella austriaca var erdobenyiana,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cistula,3,,,BN,4,,yes,,,,,low,low,NM,NALON,NALON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella compacta,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis var nonpunctata,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella dorsenotata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella elginensis,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella excisa,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella gracilis,,,,BN,5,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helmckei,,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helvetica,,,,BN,5,,yes,,,,,,,NM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella heteropleura,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hungarica,,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hustedtii,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella janischii,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kappii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kolbei,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella laevis,,,,BN,5,,yes,,,,,low,low,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lanceolata,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lapponica,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lata,,,,BN,,,,,,,,,,NM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
