FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus
Halamphora veneta,5,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,BF,AMPS,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora
Hannaea,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Hannaea
Hannaea arcus,2,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,BM,OM,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Hannaea
Hantzschia,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Hantzschia
Hantzschia amphioxys,4,BN,NA,NA,NA,NA,NA,high,HM,NAHON,DO_75,FB,AM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Hantzschia
Hantzschia distinctepunctata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Hantzschia
Hantzschia virgata,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Hantzschia
Hippodonta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta capitata,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta costulata,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,BM,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta hungarica,5,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_50,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta neglecta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta pseudacceptata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta pumila,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hippodonta subtilissima,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta
Hydrosera,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Biddulphiales,Biddulphiaceae,Hydrosera
Hydrosera triquetra,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Biddulphiales,Biddulphiaceae,Hydrosera
Hydrosera whampoensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Biddulphiales,Biddulphiaceae,Hydrosera
Karayevia,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia amoena,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,B,NA,NA,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia bottnica,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia clevei,3,BN,NA,NA,NA,NA,high,NA,NM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia laterostrata,2,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia nitidiformis,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia oblongella,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia ploenensis,4,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia ploenensis var gessneri,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia suchlandtii,2,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Kobayasiella,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kobayasiella micropunctata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kobayasiella subtilissima,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kolbesia,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Kolbesia gessneri,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Kolbesia kolbei,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidaceae,Kolbesia
Kolbesia suchlandtii,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Krasskella,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Krasskella
Krasskella kriegeriana,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Krasskella
Lemnicola,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola
Lemnicola hungarica,4,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_30,FB,AM,PH,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola
Lindavia antiqua,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Lindavia
Lindavia intermedia,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Lindavia
Luticola,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola cohnii,,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_100,BF,BM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola dismutica,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola goeppertiana,5,BN,NA,NA,NA,NA,high,high,MM,NHHONF,DO_30,FB,AMPS,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola heufleriana,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola mutica,5,BN,NA,NA,NA,NA,high,NA,MM,NAHON,DO_100,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola mutica var ventricosa,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola muticoides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola muticopsis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola nivalis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,BF,BM,E,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola saxophila,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola stigma,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola undulata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola ventricosa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Martyana,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Martyana atomus,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Martyana martyi,3,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Mastogloia,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia albertii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia calcarea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia elliptica,3,BN,NA,NA,NA,NA,low,low,MM,NA,NA,B,NA,NA,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia grevillei,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia pseudosmithii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia smithii,,BN,NA,NA,NA,NA,low,low,MM,NA,NA,B,BM,NA,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia smithii var lacustris,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mayamaea,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea agrestis,,BN,NA,NA,NA,NA,high,high,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea atomus,4,BN,NA,NA,NA,NA,high,high,MM,NHHONO,DO_75,FB,AMPS,PH,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea fossalis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea fossalis var obsidialis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea muraliformis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea permitis,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Melosira,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Melosira undulata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Melosira varians,4,BN,NA,NA,NA,NA,high,NA,NM,NHHONF,DO_50,FB,AM,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Meridion,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion circulare,2,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_75,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion circulare var constrictum,2,BN,NA,NA,NA,NA,high,NA,NM,NAHON,DO_75,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion lineare,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Microcostatus,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus
Microcostatus krasskei,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus
Muelleria,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Muelleria gibbula,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Muelleria terrestris,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Navicula,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula absoluta,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula amphiceropsis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula angusta,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula antonii,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aquaeductae,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aquaedurae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arctotenelloides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arenaria,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arvensis,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula associata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aurora,1,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula bahusiensis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula brasiliana,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula canalis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula capitatoradiata,3,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula capitellata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cari,4,BN,NA,NA,NA,NA,high,NA,MM,NALON,DO_100,FB,BM,I,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cascadensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula caterva,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula chiarae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cincta,4,BN,NA,NA,NA,NA,NA,high,MM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula concentrica,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,F,NA,O,NA,NA,NA,F,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula constans var symmetrica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula convexa,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptocephala,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptocephaloides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptotenella,3,BN,NA,NA,NA,NA,high,high,MM,NA,NA,FB,BM,I,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptotenelloides,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula densilineolata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula detenta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula difficillima,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,DO_100,F,NA,OM,NA,NA,NA,F,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula digitoradiata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula duerrenbergiana,,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula eidrigiana,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula elginensis var cuneata,,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula erifuga,5,BN,NA,NA,NA,NA,high,high,MM,NA,NA,BF,NA,E,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula escambia,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula exilis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula expecta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula festiva,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gerloffii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula germainii,5,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula germanopolonica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula globulifera,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula goersii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gottlandica,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula graciloides,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gregalis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gregaria,5,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_30,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
